Fitness,number_selected
0.28182493958709165,1.0
0.8679638077892956,3.0
0.8199844789813221,4.0
0.6313420421037776,2.0
0.9979980399266868,1.0
0.35058450527762464,1.0
0.3412852728899307,1.0
0.8288077507600514,15.0
0.4767524380510657,1.0
0.8550122006613138,1.0
0.606598494860656,7.0
0.908881786435491,3.0
0.6555513246150675,4.0
0.6387841099664,3.0
0.010120901328085852,1.0
0.41920844753424424,1.0
0.7987574954441412,2.0
0.46588561271095086,2.0
0.7962763921736055,2.0
0.1930414691311979,2.0
0.10470755648375563,1.0
0.8404261592676647,11.0
0.10004327666767299,1.0
0.4788840314753703,5.0
0.8132367733206886,1.0
0.6753962336742024,1.0
0.622191752206705,2.0
0.48423307389482007,4.0
0.2168839010133813,2.0
0.5773984435105239,2.0
0.00016977738522117036,1.0
0.5954118806114961,1.0
0.05121021209291032,1.0
0.9016220034431058,1.0
0.9390686076040958,2.0
0.5529982630088599,2.0
0.1866646885476856,2.0
0.884805466476953,38.0
0.7718196061903227,1.0
0.1949295527532917,1.0
0.5391727717083026,4.0
0.8356456284759696,67.0
0.5151455335264417,1.0
0.8554947797377231,1.0
0.42955647861822255,2.0
0.08069023716268431,1.0
0.8094676400934742,6.0
0.8983202446284375,8.0
0.9413391271125195,1.0
0.2975947800020937,1.0
0.0048235043103053155,1.0
0.24944278248791918,1.0
0.7157071312366264,14.0
0.3613908717950213,2.0
0.28699745076371097,1.0
0.1230879307139583,1.0
0.048607856896996315,1.0
0.5947815743635655,1.0
0.9433596096935911,21.0
0.9875733093391117,1.0
0.8182152169690229,3.0
0.5142294705799775,2.0
0.4016412627693977,1.0
0.40763964963101695,1.0
0.6967690100746265,18.0
0.9706241046221877,4.0
0.9341204171753796,44.0
0.3410155727197337,1.0
0.5534987521467127,2.0
0.7318320479511109,3.0
0.30906774284135896,6.0
0.9936343819529714,2.0
0.2817984478942527,2.0
0.011551063477939993,1.0
0.4125067187807495,2.0
0.6195629312511386,18.0
0.8247217334787587,3.0
0.8774375137818988,1.0
0.5037934985340308,1.0
0.40660234611418233,1.0
0.1974770932785367,1.0
0.126578811252825,1.0
0.7583255600201478,1.0
0.5069084158998154,3.0
0.023382798973636043,1.0
0.7686974374550135,1.0
0.9355489824673644,2134.0
0.00564930479807213,1.0
0.7746097249751855,1.0
0.4154858768064297,1.0
0.40908349440360847,1.0
0.832599421117604,2.0
0.6551934062438541,197.0
0.7694323637096357,3.0
0.03715479964516277,1.0
0.7793350662625217,3.0
0.774272373671282,7.0
0.4967744206252672,1.0
0.4122643346432776,1.0
0.17477577013821233,1.0
0.5333825525124513,21.0
